,0
road_mean_Y_smooth,30.48177693026206
road_count,14.219840204239674
area_m2,4.410009614551686
log_area,2.9527463783854753
contract_ym,2.640421481156765
year,1.7090077005192548
building_age,1.6056297682382765
year_idx,1.5622654518950445
building_type,1.5327126486154854
market_mean_Y_at_t,1.2679593061742764
dong_type_mean_Y,1.1616063721897738
floor_x_type,0.9070353650598942
dong_count,0.8802978389891454
area_bin,0.8573575303622217
dong_3m_mean_Y,0.8141470653869917
kospi_close,0.756601200351702
age_x_type,0.7428727868382059
area_x_dong_meanY,0.7381433459501399
dong_std_Y,0.7255927085347113
dong_12m_mean_Y,0.7042632240546933
starbucks_count,0.6567063364743881
dong_median_Y,0.6065259806949527
gangnam_x_log_area,0.5948055431593138
floor,0.5349216299452054
univ_min_dist,0.5330919524612766
univ_proximity,0.4627947764025741
type_mean_Y,0.4621874640759868
base_rate_yoy,0.40940667192512875
dong_mean_Y,0.40087108619189243
station_proximity,0.39627906743857866
base_rate,0.3901462387563127
station_min_dist,0.38270051821735396
kospi_volume,0.3702150791395196
station_prox_x_type,0.35225517023584524
kospi_close_log,0.3350170523643369
infra_score,0.3044277789678783
is_gangnam_3,0.28831829684578253
mart_count,0.2639179324647637
kospi_change_pct,0.25240466131552153
month,0.24752278883347162
floor_group,0.24386255338270954
is_underground,0.1744619023123512
age_group,0.17339226463183155
dong,0.16106192604427694
is_riverside,0.11620832488891449
base_rate_3m_change,0.07847981688754703
policy_era,0.04735636591420432
is_moving_season,0.04192898337762602
quarter,0.03901972662124994
missing_infra_flag,0.009425188273766438
