,0
road_mean_Y_smooth,123.21040649414063
age_group,39.44237213134765
log_area,32.965142822265626
type_label,31.230203247070314
road_count,24.65114555358887
is_villa,24.375163650512697
year,23.671794891357422
area_m2,23.324887466430663
is_gangnam_3,17.74881935119629
contract_ym,13.552452278137206
area_bin,10.650090980529786
is_office,10.126444816589355
year_idx,10.089752960205079
is_underground,9.930205965042115
dong_type_mean_Y,9.74183521270752
floor_group,9.626497936248779
building_age,7.833564949035645
market_mean_Y_at_t,6.512500667572022
policy_era,6.500929164886474
age_x_type,6.040002536773682
gangnam_x_log_area,4.804197883605957
dong_12m_mean_Y,4.386261749267578
starbucks_count,3.818438005447388
is_riverside,3.6636971950531008
base_rate,3.65244083404541
floor_x_type,3.5356319904327393
dong_count,3.4249318122863768
type_mean_Y,3.394725465774536
kospi_close,3.37504096031189
kospi_close_log,3.3244256496429445
infra_score,3.2536150932312013
floor,3.162324237823486
base_rate_yoy,3.0839582443237306
dong_label,3.0796980381011965
dong_median_Y,2.998538589477539
dong_std_Y,2.9316929817199706
mart_count,2.900320529937744
is_apt,2.871174955368042
station_prox_x_type,2.7958951950073243
dong_3m_mean_Y,2.7887863159179687
univ_min_dist,2.772406578063965
area_x_dong_meanY,2.7179043769836424
dong_mean_Y,2.6277761459350586
station_min_dist,2.6010643005371095
univ_proximity,2.595657539367676
base_rate_3m_change,2.396247673034668
station_proximity,2.3941090583801268
kospi_volume,2.3869955062866213
month,2.252931594848633
quarter,2.2192710399627686
missing_infra_flag,2.2061814308166503
kospi_change_pct,2.1597204208374023
is_moving_season,1.9939904928207397
